"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","4","Оформление заказа","0","0","Позитивный сценарий оформления заказа","0"
"0","","0","Навигация","2","0","Переход по логотипам","0"
"0","","0","FAQ","8","0","Работа с вопросами о важном","0"
"1","","0","Заказ самоката","1","0","Полный флоу оформления заказа","0"
"1","","0","Заказ самоката","4","0","Позитивные сценарии","0"
"0","","0","","12","0","","0"
"0","","0","Заказ самоката","2","0","Негативные сценарии","0"
"2","","0","Навигация","0","0","Проверка навигации после оформления заказа","0"
